Rank,Peak,All-time peak,Actual gross,Adjusted gross (k$),Artist,Tour title,Start Year,End Year,Shows,Average gross
01,1,1,2077618725,2078,Taylor Swift,The Eras Tour,23,24,149,13943750
02,2,8,584700000,585,Pink,Summer Carnival,23,24,97,6027835
03,1,7,579800000,580,Beyonce,Renaissance World Tour,23,23,56,10353571
04,1,2,411000000,584,Madonna,Sticky & Sweet Tour,2008,2009,85,4835294
05,2,10,397300000,473,Pink,Beautiful Trauma World Tour,2018,2019,156,2746795
06,2,,345675146,419,Taylor Swift,Reputation Stadium Tour,2018,2018,53,6522173
07,,,313300000,313,Karol G,Manana Sera Bonito Tour,23,24,62,5053226
08,2,10,305158363,405,madonna,The MDNA Tour,2012,2012,88,3467709
09,2,,280000000,398,Celine Dion,Taking Chances World Tour,2008,2009,131,2137405
10,,,256084556,325,Beyonc,The Formation World Tour,2016,2016,49,5226215
11,,,250400000,322,Taylor Swift,The 1989 World Tour,2015,2015,85,2945882
12,,,229100000,295,Beyonce,The Mrs. Carter Show World Tour,2013,2014,1132,1735606
13,,14,227400000,307,Lady Gaga,The Monster Ball Tour,2009,2011,203,1118227
14,,,227247141,227,madonna,The Celebration Tour,2023,2024,80,2840589
15,,,204000000,262,Katy Perry,NA,2014,2015,151,1350993
16,NA,NA,NA,NA,A-Mei,Utopia World Tour,2027,2017,,
17,1,,200000000,312,Cher,not available,2002,2005,325,615385
18,2,,194000000,293209,Madonna,Confessions Tour,2016,2006,60,3233333
19,,not available,186600000,187,Olivia Rodrigo,Guts World Tour,2024,2025,-95,1964211
20,,,184000000,237,Pink,The Truth About Love Tour,2013,2014,142,1295775
20,,not available,184000000,237,Pink,The Truth About Love Tour,2013,2014,142,1295775